# Calibration design -- generated by generate_pmma_calib.py
# campaign=PMMA_CALIB_physical family=glassy_pmma_calib label=PMMA XT calibration (physical parameters, 20 um depth)
# method=factorial n_runs=38 n_factors=4
# active_factors=psi,soft_drop,tau_split,sigma_scale
#   psi in [0, 10] (lin) Drucker-Prager dilation angle; reads on A_pile/A_groove
#   soft_drop in [8, 25] (lin) intrinsic softening depth at sigma_y0 fixed (post-yield SHAPE)
#   tau_split in [0, 2] (lin) index into BRISCOE_SPLITS; iso-mu_eff at p_ref, varies the pressure sensitivity only
#   sigma_scale in [1, 1.6] (lin) multiplies the whole yield table (post-yield LEVEL)
# briscoe_splits=20/0.17;40/0.12;60/0.07  (iso-mu_eff at p_ref)
# frozen=E_MPa=3300.0,baseline_family=glassy_pmma,eps_max=2.0,eps_soft=0.06,flow_stress_ratio=1.0,friction_angle_deg=25.0,h=0.45,mu_cap=0.6,mu_eff_at_p_ref=0.22,n_points=60,note_psi=the only factor that is FROZEN in CDP; that is why CDP cannot host this study,note_sigma_scale=scales sigma_y0 and soft_drop together (pure stress scale),nu=0.37,p_ref_MPa=400.0,rho=1.19e-09,scratch_depth_mm=-0.02,sigma_y0_MPa=103.0
# geometry: tip_radius=0.2 mm cone_angle=60 deg scratch_depth=-0.02 mm
# NOTE: p_* columns are traceability only; the Abaqus side re-derives
#       them in-kernel from the g_* columns.
# NOTE: p_friction_angle on the PROBE rows and p_tau0/p_alpha on
#       the BASE row are NOT reachable through g_* -- run those
#       with set: tokens (see the block comment).
id,campaign,family,method,block,priority,traj,step,moved,sign,u_psi,u_soft_drop,u_tau_split,u_sigma_scale,g_psi,g_soft_drop,g_tau_split,g_sigma_scale,p_E,p_Q,p_alpha,p_attack_angle_deg,p_b,p_dilation_angle,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_scale,p_sigma_y0,p_sigma_y_floor,p_soft_drop,p_tau0,p_tau_split
00016,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,1,0,0.5,0,10,8,1,1,3300,0,0.12,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1,103,95,8,40,1
00017,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,1,0,0,5,25,0,1,3300,0,0.17,30,8,5,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1,103,78,25,20,0
00018,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,1,0.5,0,5,25,1,1,3300,0,0.12,30,8,5,2,0.06,1,25,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1,103,78,25,40,1
00019,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,1,1,0,5,25,2,1,3300,0,0.07,30,8,5,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1,103,78,25,60,2
00020,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,0.5882352941,0,0,5,18,0,1,3300,0,0.17,30,8,5,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1,103,85,18,20,0
00021,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,0.5882352941,0.5,0,5,18,1,1,3300,0,0.12,30,8,5,2,0.06,1,25,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1,103,85,18,40,1
00022,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,0.5882352941,1,0,5,18,2,1,3300,0,0.07,30,8,5,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1,103,85,18,60,2
00023,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,0,0,0,5,8,0,1,3300,0,0.17,30,8,5,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1,103,95,8,20,0
00024,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,0,0.5,0,5,8,1,1,3300,0,0.12,30,8,5,2,0.06,1,25,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1,103,95,8,40,1
00025,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,0,1,0,5,8,2,1,3300,0,0.07,30,8,5,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1,103,95,8,60,2
00026,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0,1,0.5,0,0,25,1,1,3300,0,0.12,30,8,0,2,0.06,1,25,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1,103,78,25,40,1
00027,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0,0.5882352941,0,0,0,18,0,1,3300,0,0.17,30,8,0,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1,103,85,18,20,0
00028,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0,0.5882352941,0.5,0,0,18,1,1,3300,0,0.12,30,8,0,2,0.06,1,25,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1,103,85,18,40,1
00029,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0,0.5882352941,1,0,0,18,2,1,3300,0,0.07,30,8,0,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1,103,85,18,60,2
00030,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0,0,0.5,0,0,8,1,1,3300,0,0.12,30,8,0,2,0.06,1,25,0.45,0.22,60,0.37,400,0.5454545455,1.19e-09,1,103,95,8,40,1
00031,PMMA_CALIB_physical,glassy_pmma_calib,factorial,LEVEL,4,0,0,,0,1,1,0,0.5,10,25,0,1.3,3300,0,0.17,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1.3,133.9,101.4,32.5,20,0
00032,PMMA_CALIB_physical,glassy_pmma_calib,factorial,LEVEL,4,0,0,,0,1,1,1,0.5,10,25,2,1.3,3300,0,0.07,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1.3,133.9,101.4,32.5,60,2
00033,PMMA_CALIB_physical,glassy_pmma_calib,factorial,LEVEL,4,0,0,,0,1,0,0,0.5,10,8,0,1.3,3300,0,0.17,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1.3,133.9,123.5,10.4,20,0
00034,PMMA_CALIB_physical,glassy_pmma_calib,factorial,LEVEL,4,0,0,,0,1,0,1,0.5,10,8,2,1.3,3300,0,0.07,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1.3,133.9,123.5,10.4,60,2
00035,PMMA_CALIB_physical,glassy_pmma_calib,factorial,LEVEL,4,0,0,,0,1,1,0,1,10,25,0,1.6,3300,0,0.17,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1.6,164.8,124.8,40,20,0
00036,PMMA_CALIB_physical,glassy_pmma_calib,factorial,LEVEL,4,0,0,,0,1,1,1,1,10,25,2,1.6,3300,0,0.07,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1.6,164.8,124.8,40,60,2
00037,PMMA_CALIB_physical,glassy_pmma_calib,factorial,LEVEL,4,0,0,,0,1,0,0,1,10,8,0,1.6,3300,0,0.17,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.7727272727,1.19e-09,1.6,164.8,152,12.8,20,0
00038,PMMA_CALIB_physical,glassy_pmma_calib,factorial,LEVEL,4,0,0,,0,1,0,1,1,10,8,2,1.6,3300,0,0.07,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3181818182,1.19e-09,1.6,164.8,152,12.8,60,2
